User_ID,Timestamp,HR_Identification,AI_Warning
USER_426939,0.00s,User session started (Candidate: Tarun Sample),No violation detected yet
USER_426939,0.21s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,0.67s,Head turned left,please focused on screen don't look left
USER_426939,2.11s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,2.98s,Multiple people detected (2 people),"Only candidate is allowed in frame, clear other persons"
USER_426939,3.23s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,3.68s,Head turned left,please focused on screen don't look left
USER_426939,5.12s,Candidate missing from frame,Please stay in front of the camera at all times
USER_426939,6.25s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,6.70s,Head turned left,please focused on screen don't look left
USER_426939,7.32s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,9.26s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,9.72s,Head turned left,please focused on screen don't look left
USER_426939,12.28s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,12.74s,Head turned left,please focused on screen don't look left
USER_426939,15.28s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,15.75s,Head turned left,please focused on screen don't look left
USER_426939,17.05s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,17.25s,Candidate missing from frame,Please stay in front of the camera at all times
USER_426939,18.28s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,19.29s,Head turned left,please focused on screen don't look left
USER_426939,20.05s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,21.29s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,22.30s,Head turned left,please focused on screen don't look left
USER_426939,24.31s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,25.30s,Head turned left,please focused on screen don't look left
USER_426939,27.15s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,27.34s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,28.31s,Head turned left,please focused on screen don't look left
USER_426939,30.34s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,31.31s,Head turned left,please focused on screen don't look left
USER_426939,31.43s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,33.35s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,34.34s,Head turned left,please focused on screen don't look left
USER_426939,35.64s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,36.38s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,37.36s,Head turned left,please focused on screen don't look left
USER_426939,39.38s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,40.37s,Head turned left,please focused on screen don't look left
USER_426939,40.64s,Unrecognized person in candidate position,"Verification failed, candidate must be present"
USER_426939,41.22s,looking down side repeadliy 6 time,please focused on screen don't look down
USER_426939,42.40s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,43.55s,Head turned left,please focused on screen don't look left
USER_426939,44.24s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,45.41s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,46.57s,Head turned left,please focused on screen don't look left
USER_426939,48.44s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,49.59s,Head turned left,please focused on screen don't look left
USER_426939,51.46s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,52.61s,Head turned left,please focused on screen don't look left
USER_426939,54.47s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,55.64s,Head turned left,please focused on screen don't look left
USER_426939,55.80s,looking down side repeadliy 6 time,please focused on screen don't look down
USER_426939,57.48s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,58.68s,Head turned left,please focused on screen don't look left
USER_426939,60.01s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,60.51s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,62.77s,Head turned down,please focused on screen don't look down
USER_426939,63.52s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,65.79s,Head turned right,please focused on screen don't look right
USER_426939,66.50s,Candidate eyes closed continuously for over 5 seconds,Please keep your eyes open and stay attentive
USER_426939,66.54s,Lighting Violation: WARN: BACKGROUND LIGHT IS LOW,Please adjust lighting to face the camera in normal light
USER_426939,68.80s,Head turned right,please focused on screen don't look right
USER_426939,69.57s,Lighting Violation: WARN: BACKGROUND LIGHT IS LOW,Please adjust lighting to face the camera in normal light
USER_426939,71.84s,Head turned right,please focused on screen don't look right
USER_426939,72.57s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,74.73s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,74.85s,Head turned left,please focused on screen don't look left
USER_426939,75.57s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,77.36s,No natural eye blink detected for over 8 seconds,Please blink naturally and look at the screen
USER_426939,77.87s,Head turned left,please focused on screen don't look left
USER_426939,77.96s,looking right side repeadliy 6 time,please focused on screen don't look right
USER_426939,78.60s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,80.88s,Head turned left,please focused on screen don't look left
USER_426939,81.62s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,84.63s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,85.48s,Head turned right,please focused on screen don't look right
USER_426939,87.65s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,89.54s,Head turned left,please focused on screen don't look left
USER_426939,90.00s,Dark sunglasses or covered eyes detected,"Please remove dark glasses, eyes must be clearly visible"
USER_426939,90.30s,looking down side repeadliy 6 time,please focused on screen don't look down
USER_426939,90.66s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,92.55s,Head turned left,please focused on screen don't look left
USER_426939,93.03s,Dark sunglasses or covered eyes detected,"Please remove dark glasses, eyes must be clearly visible"
USER_426939,93.07s,Unrecognized person in candidate position,"Verification failed, candidate must be present"
USER_426939,93.70s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
USER_426939,95.56s,Head turned left,please focused on screen don't look left
USER_426939,96.07s,Dark sunglasses or covered eyes detected,"Please remove dark glasses, eyes must be clearly visible"
USER_426939,96.72s,Lighting Violation: WARN: FRONT LIGHT LOW,Please adjust lighting to face the camera in normal light
